Enb Id,Cell Number,Cell Id,District,Latitude,Longitude,Provider,Bands,Sidelink,Duplex mode,Interface,PCI,RSRP [dBm],Uplink Freq [MHz],Downlink Freq [MHz],Freq band,Orientation,Active
168990,0,43261440,Mitte,48.76665,11.4291,Telekom,"8, 47",yes,HD,PC5,202(67/1),-84,909.9,954.9,E-GSM (B8 FDD),9,yes
168990,1,43261441,Mitte,48.76665,11.4291,Telekom,"8, 47",yes,HD,PC5,201(67/0),-104,909.9,954.9,E-GSM (B8 FDD),9,yes
168990,2,43261442,Mitte,48.76665,11.4291,Telekom,"8, 47",yes,HD,PC5,203(67/2),-74,909.9,954.9,E-GSM (B8 FDD),9,yes
142473,6,36473094,Mitte,48.76494,11.42805,Telekom,"3, 7, 47",yes,HD,PC5,333(111/0),-81,2530,2650,IMT-E(B7 FDD),7,yes
142473,7,36473095,Mitte,48.76494,11.42805,Telekom,"3, 7, 47",yes,HD,PC5,334(111/1),-86,2530,2650,IMT-E(B7 FDD),7,yes
142473,8,36473096,Mitte,48.76494,11.42805,Telekom,"3, 7, 47",yes,HD,PC5,335(111/2),-85,2530,2650,IMT-E(B7 FDD),7,yes
106803,0,27341568,Mitte,48.76299,11.42564,Telekom,"3, 7, 8, 47",yes,HD,"Uu, PC5",124(41/1),-66,1720,1815,DCS(B3 FDD),4,yes
106803,1,27341569,Mitte,48.76299,11.42564,Telekom,"3, 7, 8, 47",yes,HD,"Uu, PC5",125(41/2),-66,1720,1815,DCS(B3 FDD),4,yes
106803,2,27341570,Mitte,48.76299,11.42564,Telekom,"3, 7, 8, 47",yes,HD,"Uu, PC5",123(41/0),-66,1720,1815,DCS(B3 FDD),4,yes
129181,3,33070339,Mitte,48.76258,11.421,Telekom,"3, 7, 47",yes,HD,PC5,164(54/2),-75,2530,2650,IMT-E(B7 FDD),0,yes
129181,4,33070340,Mitte,48.76258,11.421,Telekom,"3, 7, 47",yes,HD,PC5,163(54/1),-66,2530,2650,IMT-E(B7 FDD),0,yes
129181,5,33070341,Mitte,48.76258,11.421,Telekom,"3, 7, 47",yes,HD,PC5,162(54/0),-89,2530,2650,IMT-E(B7 FDD),0,yes
129101,2,33049858,Mitte,48.76695,11.42168,Telekom,"3, 7, 47",yes,HD,"Uu, PC5",136(45/1),-72,1720,1815,DCS(B3 FDD),347,yes
129101,0,33049856,Mitte,48.76695,11.42168,Telekom,"3, 7, 47",yes,HD,"Uu, PC5",135(45/0),-72,1720,1815,DCS(B3 FDD),347,yes
